2024-03-14 20:11:55,116 - Using device: cpu
2024-03-14 20:11:55,116 - 
Epoch: 2

2024-03-14 20:11:57,253 - Epoch [1/2], Step [75/600], Loss: 0.1964, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,279 - Epoch [1/2], Step [76/600], Loss: 0.1228, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,303 - Epoch [1/2], Step [77/600], Loss: 0.3284, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,331 - Epoch [1/2], Step [78/600], Loss: 0.2305, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,356 - Epoch [1/2], Step [79/600], Loss: 0.2256, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,382 - Epoch [1/2], Step [80/600], Loss: 0.1633, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,406 - Epoch [1/2], Step [81/600], Loss: 0.1230, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:57,437 - Epoch [1/2], Step [82/600], Loss: 0.1660, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,463 - Epoch [1/2], Step [83/600], Loss: 0.1892, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,489 - Epoch [1/2], Step [84/600], Loss: 0.2262, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,507 - Epoch [1/2], Step [85/600], Loss: 0.2288, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,544 - Epoch [1/2], Step [86/600], Loss: 0.3497, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,569 - Epoch [1/2], Step [87/600], Loss: 0.1380, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,596 - Epoch [1/2], Step [88/600], Loss: 0.1486, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,627 - Epoch [1/2], Step [89/600], Loss: 0.1987, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,657 - Epoch [1/2], Step [90/600], Loss: 0.1944, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:57,682 - Epoch [1/2], Step [91/600], Loss: 0.2697, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,707 - Epoch [1/2], Step [92/600], Loss: 0.2299, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,737 - Epoch [1/2], Step [93/600], Loss: 0.2123, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,766 - Epoch [1/2], Step [94/600], Loss: 0.2583, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:57,786 - Epoch [1/2], Step [95/600], Loss: 0.1915, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,819 - Epoch [1/2], Step [96/600], Loss: 0.1734, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,846 - Epoch [1/2], Step [97/600], Loss: 0.1903, RAM Usage: 61.90%, CPU Usage: 2.90%
2024-03-14 20:11:57,871 - Epoch [1/2], Step [98/600], Loss: 0.1649, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,897 - Epoch [1/2], Step [99/600], Loss: 0.2586, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:57,919 - Epoch [1/2], Step [100/600], Loss: 0.2504, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,947 - Epoch [1/2], Step [101/600], Loss: 0.1712, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:57,973 - Epoch [1/2], Step [102/600], Loss: 0.1665, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:57,997 - Epoch [1/2], Step [103/600], Loss: 0.3309, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:58,020 - Epoch [1/2], Step [104/600], Loss: 0.1654, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:58,046 - Epoch [1/2], Step [105/600], Loss: 0.1253, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,075 - Epoch [1/2], Step [106/600], Loss: 0.2469, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:58,101 - Epoch [1/2], Step [107/600], Loss: 0.2075, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,126 - Epoch [1/2], Step [108/600], Loss: 0.2143, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,155 - Epoch [1/2], Step [109/600], Loss: 0.2778, RAM Usage: 61.90%, CPU Usage: 1.70%
2024-03-14 20:11:58,182 - Epoch [1/2], Step [110/600], Loss: 0.2256, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,206 - Epoch [1/2], Step [111/600], Loss: 0.2848, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,232 - Epoch [1/2], Step [112/600], Loss: 0.1972, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,256 - Epoch [1/2], Step [113/600], Loss: 0.3849, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,283 - Epoch [1/2], Step [114/600], Loss: 0.2608, RAM Usage: 61.90%, CPU Usage: 2.90%
2024-03-14 20:11:58,308 - Epoch [1/2], Step [115/600], Loss: 0.2926, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,327 - Epoch [1/2], Step [116/600], Loss: 0.1504, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:58,356 - Epoch [1/2], Step [117/600], Loss: 0.2497, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:58,383 - Epoch [1/2], Step [118/600], Loss: 0.2846, RAM Usage: 61.90%, CPU Usage: 3.10%
2024-03-14 20:11:58,406 - Epoch [1/2], Step [119/600], Loss: 0.2353, RAM Usage: 61.90%, CPU Usage: 0.00%
2024-03-14 20:11:58,436 - Epoch [1/2], Step [120/600], Loss: 0.1989, RAM Usage: 61.90%, CPU Usage: 1.60%
2024-03-14 20:11:58,457 - Epoch [1/2], Step [121/600], Loss: 0.2652, RAM Usage: 61.90%, CPU Usage: 0.00%
